CORPUS,TOPIC_ID,TOPIC,HUMAN_TEXT,PROMPT,LLAMA_TEXT,GEMMA_NAME,MISTRAL_TEXT
EFCAMDAT,EF_0,Giving instructions to play a game,"Mark as bowlin alley an rea of about 8 meter x by 3 meters. Use ten plastic bottles as bolling pins fill the bottles with a little later to make them heavier. Line up the bottles in rows of 4, then 3, then 2, then 1 jus like ten-pin bowling.Give a frisbee to each player, is allowed to take two shots on each turn. layers are given a total of ten turns each. score one point for each pin that is knocked down. score a strike if knock down all the bottles, the player takes tow more show and add all the points together.%% The winner is the player with the most points. Do not play on a very windy day.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"the first step is mark the bowling alley, an area of about 8 meters x by 3 meters windless play. The bolling pins', ten plastic bottles should be filled with a little water inside them constructing a triangle. two shots on each turn are allowed to each player and each player can give a total ten turns. one point is scored for each pin that is knocked down but if a strike is scored the player takes two more shots and add all the point. The winner is the player with de most point.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"Ping-long 1 - The following is a game of 11 points. Can be played in any odd number of games. In the case of a tie on 10 points, winning is what makes the first two consecutive points. 2 - The player who serves the 1st game is on one side will switch sides in the next game. 3 - The players must change sides as soon as the player get 05 points. 4 - The ball must be thrown upward and should be struck so that it touches first the field of the server, pass over the net without touching it and then tap on the receiver. 5 - The service has to be given behind the end line. 6 - each player is entitled to two serves. 7 - The right to serve or receive first or choose the side should be decided by lot.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"I will talk about three popular games in Brazil : A game of twelve two people , eleven of each side one ball tem players in field and one at goal , have two times of forty five minutes and too the referee to mark the faults. volleyball can be played with four or in maximum six people, Make teams of four or more and put them in volleyball formation , the game will until twenty five points, with three times of twenty five points. basketball game with five players in field one the referee the players have that throw ball in sixth , have five times of twenty minutes.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"First you have to build the area that it must be about 8 metres. Take ten plastic bottles heavy with water as bowlin pins and line them up in rows of 4, then 3, then ... Every player have a frisbee and they are allowed to tale two shots on each turn. The point is scored if the player does a strike. The winner is the player with the most point and remember to not play on a windy day-",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"The ""bowling alley"" is an area marked about 8 meters by 3 meters. Ten plastic bottles are used as ""bowling pins"". The bottles are lined up in rows of 4, then 3, then 2, then 1, they should be filled with a little water to make them heavier each player is given a frisbee and can take two shots in each turn. layers are given a total of ten turns each and for each pin are knocked down one point is scored. If all the bottles are knocked down is scored a ""strike"" and then the player takes two more shots and all the points are added together. The winer is the players with the most points.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"search for an area about 8 x by 3 meters. Mark it as the ""bowling alley"". maybe you have a nice place for that in your garden. After that look for ten plastic bottles filled with a little bit of water. They are your ""bowling pins"". Line them up in a row of 4, then 3, then 2 and 1. Just like you know it from the real ten-pin bowling. each player get a frisbee and has two shots on each turn. He get one point for each pin that's knocked down. If you knock down all bottles, you get two more shots. The player with the most points is the winner. It should not be very windy on your ""frisbee-bowling-day""!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"Frisbee howling is easy. You need ten plastic bottles can be used as the "" bowling pins"". Line up the bottles in rows of 4, then 3, then 2, then 1. Player is given a frisbee and is allowed to take two shots on each turn. The player need ten points. One point is scored for each pin that is knocked down. Winner the game the player with the most points.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"The 'bowling alley' is an area of 8x3 meters. lined up in a row of 4, then 3, then 2, then 1, the 10 bottles filled with a little water. each player send 2 frisbee on each turn. If a bottle knock down, the player win 1 point. If all the bottle knock down, the player is allowed to send 2 frisbee again. The player with the most point win the game.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"An area of about 8 meters by 3 meters is make as the ""howling alley"". Use 10 plastic bottles as the ""bowling pins"". mile them with little water to make them heavier. Line up in rows of 4, then 3, then 2, then 1. each player use a frisbee and shot two time on each turn, in ten turns. Win one point for each pin knocked down. knock down all the bottles (strike) then you could take two more shots and add the points together. The player with the most points win. Don't play on a very windy day!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_1,Planning for the future,"for the future my plan is: - First, I wont to finish the post graduate course in management of maintenance; - next, I hope to find a job as a maintenance engineer; - another thing I hope, is to find a job in an international company; - the fourth stage of my plan is to increase my skills to make a brilliant career and finally I Will hope to have a pension when i'll finish to work.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First, I would like finish my study in information and health. He rest me one year. Next I would like make a stage in the domaine of quality because I want recover this domain. Another thing I want to acquire the experience in order to have the choose for the future job. The fourth stage of my plan is to make a work who interess me. finally, I will find this job.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First, I will join the career fair to talk to the future employers. Next, I will get lots of job applications to see how well I can fill in the answers. Another thing I want to add is my past intershop experiences. The fourth stage of my plan is take a gap year to meet different people in different culture. I get to know them and learn their language by helping them.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First I will find a new job, more stressful and don't need to watch on the weekend. Next I will hard-working in the company. and study English on my free time. I will learn more knowledge about my work. Another thing I want trip with my parents. I want to visit Thailand. The forth stage of my plan is I want to get a promotion. maybe I can worked as a team leader. finally I will be become a expert in my field.%% And I will be a manager.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
