CORPUS,TOPIC_ID,TOPIC,HUMAN_TEXT,PROMPT,LLAMA_TEXT,GEMMA_TEXT,MISTRAL_TEXT
EFCAMDAT,EF_0,Giving instructions to play a game,"Prepare flat place of about 8 meters x by 3 meters. Place ten plastic bottles (pins) in 4 rows: first - 4 pins, second - 3 pins, third - 2 pins, fourth - 1 pin. First team take a frisbee and can take two shots on each turn. If you knocked down one pin - you score a point. If you knocked down all pins - you score a ""strike"" and you can take two more shots. If your team have scored the most points - you are the winner! congratulations!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"The ""bowling alley"" is an area of 8m*3m. There are the plastic bottles with little water in it are used as the ""bowling pins"". The bottles are lined up in rows of 4, then 3, then 2, the 1-just like ten-pin bowling. Give a frisbee to each player. Every player is allowed to take two shots on each turn. Give a total of ten turns to each player. Strike the bottles. if you can knock down all the bottles, you scored a point. And you can take more shots. All the points are added together. The winner is the player with the most points. Be careful, this game should not be played on a very windy day!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"Plataea 8 x 3metres, marked a the bowling alley. Use, for example 10 plastic bottles filled with water as the bowling pins. Line the bottles in rows of 4,3,2, 1. each player gets a frisee and is allowed to take two shots on each turn. 10 shots during the whole game. each knocked down pins scores 1 point. If all ten bottles are knocked down by one shot, the player gets two more shots and all point will be added. The winner is the player with the most points. Attention: Do not play on a very windy day.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"This play is like bowling, but the way to knocked down the pins is different. First lined up the bottles in rows of four, then three, two and one respectively. I""ll give a frisbee to each one. What you need is throw the frisbee into the bottles and knock it down. Who knocked pins down gets point and who have the the most points will be the winner. Take care with wind.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"Mark the area with 24 meters, closed. use ten bottles as the bowling pins and you can put water or sand and make them heavier. each player gives a frisbee and has two shots. each players ten shot. wins who score most points. remember tha is important to prepare before shot. You have to look and pinpoint to knocked down. hey, pay attention, who get a strike can takes tow more shots and all the points are added together.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"1. ballon volleyball; separated two teams, a blanket as a net, keep to hit the ballon until it is thrown over the net, try tt stope the ballon touching the ground or out of the court, if it does, you lost the cord 2. blow; two teams, 5meters in frond players with a bin , try to throw any kinds ballsing the bin, take trunk, get a chance each time 3. frisbee bowing; lined up the battles like ten-pin bowing use frisbee to hit the battles , two shots each turn, if it is strike , then you get corded",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,bello Kids I tell you how to play frisbee bowling Your area should be 8x3 meters big. Your need 8 bottles with a little water in it. You need to line then up first 4 then 3 then 2 then 1. each player is getting a frisbee he/she is allowed to throw two try.When he knocked one down it is a point .The winner is the child who has the most points. Good luck,You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,make 8 meters and 3meters of bowling alley area.Use ten plastics and fill in a little water to make them heavier as bowling. Line up them in row of 4 to 1just like ten pin bowlin. to each player give a frisbees and allow to take to. give shots each turn. Give a total ten turn each. cor one point for each pinta knock down. Take two more shot by the player and add the point together. the winner is the player with the most points.Be careful play this game on a very windy day,You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"Kids please listen what I am saying. It is very simple playing these games. First volleyball, make teams of 6 kids and go each one to a side of the court. You start serving, hit the ball to other side of the court. The other team have 3 chances to cross the ball over the net. If one side hits the ball out of the court or the ball it touches the ground, a point is scored by the other team. Now you know how to play, so keep trying! Tomorrow we are going to know how to play soccer.%%",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
EFCAMDAT,EF_0,Giving instructions to play a game,"There's an area that we call the ""bowling alley"". Here we have ten bottles that we use as ""bowling pins"". Line up the bottles in rows of 4, then 3, then 2 and finally 1. Give to each player a frisbee. each player use the frisbee to shot two times every turn. each player has 10 turns to score points knocking down the pins. If every pin knock down the player takes two extra shoots. sins the player whom has scored more points.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,,,
