CORPUS,TOPIC_ID,TOPIC,HUMAN_TEXT,PROMPT,LLM_NAME,LLM_GENERATED_TEXT
EFCAMDAT,1,Giving instructions to play a game,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Giving instructions to play a game. Please write a text piece on this topic.",,
EFCAMDAT,2,Planning for the future,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Planning for the future. Please write a text piece on this topic.",,
EFCAMDAT,3,Writing a job advertisement,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing a job advertisement. Please write a text piece on this topic.",,
EFCAMDAT,4,Writing about a memorable experience,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing about a memorable experience. Please write a text piece on this topic.",,
EFCAMDAT,5,Taking part in a TV viewing survey,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Taking part in a TV viewing survey. Please write a text piece on this topic.",,
EFCAMDAT,6,Issuing a written warning,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Issuing a written warning. Please write a text piece on this topic.",,
EFCAMDAT,7,Writing a letter of complaint,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing a letter of complaint. Please write a text piece on this topic.",,
EFCAMDAT,8,Posting comments on a celebrity forum,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Posting comments on a celebrity forum. Please write a text piece on this topic.",,
EFCAMDAT,9,Writing a natural remedies pamphlet,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing a natural remedies pamphlet. Please write a text piece on this topic.",,
EFCAMDAT,10,Reviewing a song for a website,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Reviewing a song for a website. Please write a text piece on this topic.",,
EFCAMDAT,11,Making a 'to do' list of your dreams,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Making a 'to do' list of your dreams. Please write a text piece on this topic.",,
EFCAMDAT,12,Describing a business trip,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Describing a business trip. Please write a text piece on this topic.",,
EFCAMDAT,13,Selling items in an online auction,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Selling items in an online auction. Please write a text piece on this topic.",,
EFCAMDAT,14,Responding to written invitations,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Responding to written invitations. Please write a text piece on this topic.",,
EFCAMDAT,15,Congratulating a friend on an award,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Congratulating a friend on an award. Please write a text piece on this topic.",,
EFCAMDAT,16,Claiming back your security deposit,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Claiming back your security deposit. Please write a text piece on this topic.",,
EFCAMDAT,17,Giving feedback to a restaurant,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Giving feedback to a restaurant. Please write a text piece on this topic.",,
EFCAMDAT,18,Studying online,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Studying online. Please write a text piece on this topic.",,
EFCAMDAT,19,Making a business proposal,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Making a business proposal. Please write a text piece on this topic.",,
EFCAMDAT,20,Signing a waiver to go skydiving,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Signing a waiver to go skydiving. Please write a text piece on this topic.",,
EFCAMDAT,21,Writing safety guidelines,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing safety guidelines. Please write a text piece on this topic.",,
EFCAMDAT,22,Asking for leave,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Asking for leave. Please write a text piece on this topic.",,
EFCAMDAT,23,Writing an apology email,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing an apology email. Please write a text piece on this topic.",,
EFCAMDAT,24,Writing a blog,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Writing a blog. Please write a text piece on this topic.",,
EFCAMDAT,25,Helping a friend find a job,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Helping a friend find a job. Please write a text piece on this topic.",,
EFCAMDAT,26,Doing a survey about discrimination,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Doing a survey about discrimination. Please write a text piece on this topic.",,
EFCAMDAT,27,Requesting a bank loan,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Requesting a bank loan. Please write a text piece on this topic.",,
EFCAMDAT,28,Applying to be a fitness trainer,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Applying to be a fitness trainer. Please write a text piece on this topic.",,
EFCAMDAT,29,Finding a home for a wealthy client,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Finding a home for a wealthy client. Please write a text piece on this topic.",,
EFCAMDAT,30,Describing a terrifying experience,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Describing a terrifying experience. Please write a text piece on this topic.",,
EFCAMDAT,31,Presenting trends,,"I want you to imagine you are an English learner from a non-English speaking country. You are currently at B2 level, assigned to do a writing task in English. Your topic is Presenting trends. Please write a text piece on this topic.",,
