CORPUS,TOPIC_ID,TOPIC,HUMAN_TEXT,PROMPT,LLM_NAME,LLM_GENERATED_TEXT
EFCAMDAT,1,Giving instructions to play a game,"The ""bowling alley"" is an area of 8 x 3 meters. will the plastic bottles with a little water and use them as the ""howling pins"". Line up the bottles in rows of 4, then 3, then 2, them 1, like ten-pin bowling. Take a frisbee and take two shots on each turn. each takes ten turns. You sure one point for each pin you knock down. You take two more shots and add all the points for a strike (knock all the bottles down). The winner is the player with the most points. Don't play the game on a very windy game.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Giving instructions to play a game.,meta-llama/Llama-3.1-8B-Instruct," Here is the example of a text on the B1 level:
""Welcome to our new game. First, we need to divide into teams. There are three teams. Each team has five players. Then, we have to choose a player from each team to be a goalkeeper. The goalkeeper has to stay near the goal. The other players have to run around the playground. When the whistle blows, the game starts. The players have to kick the ball to their teammates. They have to try to kick the ball to the goal of the other team. If the goalkeeper saves the ball, the other team has to try again. If the ball goes into the goal, the team that kicked the ball scores a point. The game continues until the whistle blows again. Then, we count the points of each team. The team with the most points wins.""
I will give you some words and phrases that you can use in your text. You can use them as many times as you need.
- In"
EFCAMDAT,2,Planning for the future,"Career Plan Name: Jacob king 1. First, I want to get the chance of getting promotion this year. I have worked in the company for 7 years. I worked hard and guide many new employees. 2. Next, I would like to have a train this year. Just for improving the ability of using javascript. 3. Another thing I want is asking for a assistant in 3 years. He will help me dealing the business matters. 4. The fourth stage of my plan is moving to Australia and working there. 5. finally, I will be a boss in my own company.%%",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,meta-llama/Llama-3.1-8B-Instruct," What does it mean to plan for the future?
Planning for the future is a very important thing. It means making decisions about what you want to do in the next few years or even in the next ten years. It means thinking about your goals, your dreams, and your wishes. When you plan for the future, you think about what you want to achieve, what you want to study, where you want to work, and what kind of life you want to have.
Planning for the future is like making a map for your life. You need to know where you are now, where you want to go, and what steps you need to take to get there. It's like setting a goal and making a plan to achieve it. For example, if you want to be a doctor, you need to study hard, get good grades, and go to medical school. If you want to travel the world, you need to save money, learn new languages, and make new friends.
Planning for"
EFCAMDAT,3,Writing a job advertisement,"not interested with this job, but I decided to send you my resume because I have hard experiences in computing business. I am a program manager and screenwriter. I can organize developing process and communications between different members of team. I am very handworker and I have been in this business since 1998. I am available for interview any time during some next weeks. sincerely yours, Irina",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,meta-llama/Llama-3.1-8B-Instruct," This is an example of a job advertisement. The company is looking for a software developer. The company is called TechWorld.
Job Title: Software Developer
Job Type: Full-time
Location: TechWorld HQ, New York
Job Description: We are seeking an experienced software developer to join our team at TechWorld. The ideal candidate will have a strong background in software development, excellent problem-solving skills, and a passion for innovation.
Responsibilities:
* Design, develop, and test software applications
* Collaborate with cross-functional teams to identify and prioritize project requirements
* Participate in code reviews and contribute to the improvement of our software development process
* Stay up-to-date with industry trends and emerging technologies
Requirements:
* Bachelor's degree in Computer Science or related field
* 3+ years of experience in software development
* Proficiency in languages such as Java, Python, and C++
* Strong understanding of data structures, algorithms, and software design patterns
* Excellent problem-solving skills"
EFCAMDAT,4,Writing about a memorable experience,"Last year my friend and me travelled to Antalya in Turkey. We stayed there for one week. On one day we made a rafting tour in Manavgat, it was amazing and very exciting. At first I was very worried because it was my first rafting tour and I know, that it is not easy to avoiding capsize. So we started the tour and the first that happened was a scramble with a big rafting boat, but we didn't capsize. I was happy to came through the tour without any injuries and didn't capsize by the strong current.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,meta-llama/Llama-3.1-8B-Instruct," Describe a memorable experience in your life. Use vocabulary and grammar structures from the B1 level.
I was on a trip to the beach with my family when I was 12 years old. It was summer and the sun was shining brightly. We arrived at the beach early in the morning and set up our tent. My parents bought us some sandwiches and fruit for lunch. My brother and I played football on the beach while our parents swam in the sea. The sea was very cold, but they enjoyed it. We had a barbecue in the evening and watched the sunset. It was a beautiful sight. The sky turned red and orange. We all sat together and talked about our favourite things. It was a great day and one of the best memories of my life. I still remember it clearly. I love going to the beach and I hope to go there again soon.
Note: The text is written at the B1 level according to the CEFR framework, with vocabulary and grammar structures such as"
EFCAMDAT,5,Taking part in a TV viewing survey,"Hi Renee, I saw the survey and would like to compare some figures. Please pay attention for my age group 46 - 60 and the female gender. The figures showed the least most popular these group are soap operas, cartoons and game shows. I disagree because my women friends, these age, like very much soap operas and after that, they like very much news because they think is very important to know what is going on in the world. I think of depends on the country the survey was recited. In Brazil, the reality is different. Keep in touch, sayonara",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,meta-llama/Llama-3.1-8B-Instruct," I will give you feedback and then you can write another piece of time on the same topic.
Here is a piece of text:
I am a big fan of TV. I watch TV every day. I like to watch different programs like news, movies and sports. I was asked to take part in a TV viewing survey. I was asked to answer some questions about my TV viewing habits. I said yes. I was asked to fill in a form. I wrote my name, address and phone number. Then I was asked to answer some questions. The questions were easy. I was asked how many hours I watch TV per day. I was asked what programs I like to watch. I was asked how I get my TV programs. I was asked to rate my satisfaction with the TV programs I watch. I answered all the questions. The survey was finished. I was given a small gift as a thank you. I was happy.
Here is the feedback:
- Good job! Your text is easy"
EFCAMDAT,6,Issuing a written warning,"Dear James recently, a serious problems has been brought to my attention and it is related to you. Your working style and habits are not the good ones, please let me know if there is something wrong that don''t let you make a normal performance? are you unhappy with something happening on your work. please call to my extension in order to set a meeting as soon as possible and clarify this. feel free to express all your feelings and you know that im glad to help you. Best regards. Eduardo.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,meta-llama/Llama-3.1-8B-Instruct," This is the letter that your manager sends to you when you are not meeting the required standards. It is a formal document. Here is a sample text. You need to write your own text.
Sample text:
Issuing a written warning is a formal process that is used by managers to inform employees about their poor performance. When an employee is not meeting the required standards, the manager will usually issue a written warning to remind the employee of their responsibilities and to give them an opportunity to improve. The written warning will clearly state the reasons for the warning, the specific areas of improvement, and the expected improvements. It will also include the consequences of not meeting the required standards. The employee is usually given a certain period of time to improve and a follow-up meeting is scheduled to review their progress.
Write your own text on the same topic. Make sure to use formal language.
Issuing a written warning is a formal procedure that managers use to inform employees about their subpar performance. When an employee fails to"
EFCAMDAT,7,Writing a letter of complaint,"Blue Cruise Alaska: I am one of your customer of Alaska Cruise and I would like to make some complaint for this trip. First,The ship was old and horrible small.Next The cabin was dirty, the beds were uncomfortable, the bathrooms were dirty and disgusting.After that The captain was unfriendly and unprofessional. Then we didn't see most of the animals you were promised. finally there were extra, hidden charges.I hope you returned part of our money and improve your service. Your sincerely! John S",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a letter of complaint.,meta-llama/Llama-3.1-8B-Instruct," What is the best way to start a letter of complaint? 
Dear teacher,
I want to learn how to write a letter of complaint. My friend told me that it is very important to start a letter of complaint in a polite way. I don’t know how to do it. Can you please help me?
When writing a letter of complaint, it is essential to start it in a polite way. You should begin with a formal greeting such as “Dear Sir/Madam” or “Dear Customer Service”. This is because you want to show respect to the person or company you are writing to. You can also use their title if you know it, for example, “Dear Mr./Mrs./Ms. Last Name”.
For example, if you are writing to a company, you can start with “Dear Customer Service Team” or “Dear Sir/Madam”. If you are writing to a person, you can start with “Dear Mr./Mrs./Ms. Last Name”. You should always use"
EFCAMDAT,8,Posting comments on a celebrity forum,"I dont believe Gavin Taylor is unfaithful to his wife, Alana. maybe someone who doesnt like him is spreading these rumors. I think every famous person is very exposed to the media and always have someone talking about them. The media emphasizes their behavior. anything they do is highlighted, even if is not an important thing. We cant believe in some rumors about artists. I think is better not to worry too much with these comments. If people don't stop commenting about this, the rumors can be increased. So, let's wait for an official reply from Gavin Taylor.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Posting comments on a celebrity forum.,meta-llama/Llama-3.1-8B-Instruct," There are 3 paragraphs.
As I was browsing the internet, I came across a celebrity forum. I was curious about what people were talking about. I started to read the posts. Some people were discussing a new movie that a famous actor had just released. They were giving their opinions about the movie. Some people thought it was good, while others thought it was bad.
I decided to join the discussion by posting a comment. I wanted to share my thoughts about the movie. I wrote a short message saying that I had seen the movie and that I thought it was okay. I didn't think it was the best movie I had ever seen, but it was not bad either. I also mentioned that the actor had done a good job in the movie. After posting my comment, I saw that many other people had responded to my message.
Some people agreed with my opinion, while others disagreed. One person said that they had seen the movie and that it was terrible. Another person said that the"
EFCAMDAT,9,Writing a natural remedies pamphlet,Home remedies to get through the season for colds and flus without being drugged up over weeks: you have got a bad sore throat? A spoonful of honey and ginger will make you feel better soon. You are suffering aches and pains because you've caught a flu? A tea made from white willow bark and cayenne pepper will release you from pain. You are looking for a way to strengthen your immune system in general? The effect of garlic crushed with lemon and acerola will convince you. All ingredients of these home remedies are available at our market stall.,You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a natural remedies pamphlet.,meta-llama/Llama-3.1-8B-Instruct,"  You might need to look up words and phrases you are not familiar with. 
In this pamphlet, we will introduce you to some natural remedies for common health problems. These remedies are simple, easy to make, and cost-effective. They are also safe to use and have been tested for their effectiveness.
One of the most common health problems is stress. It can cause headaches, insomnia, and anxiety. To relieve stress, you can try aromatherapy. Aromatherapy is the use of essential oils to promote relaxation and reduce stress. You can use lavender oil, which is known for its calming effect, to make a stress-relieving bath. Add a few drops of lavender oil to your bath water and soak in it for at least 20 minutes. This will help you relax and reduce stress.
Another common health problem is digestive issues. If you have constipation or diarrhea, you can try using natural remedies. One of the most effective remedies is ginger tea. Ginger has anti"
EFCAMDAT,10,Reviewing a song for a website,"Home improvement was written by a pop folk singer, Josh Woodward. The song is a critique about city way of life. The song basically has very simples accords played with a classic guitar. You can listen an electric bass and a simple drums rhythmic. The musical genre is a clear folk punk with a critique lyric about the way of life inside a big city. We can see the Josh idea about the farm values despite hes never lived in a farm. The first impression for this song is a poor song played to everybody like, but after you can understand why Josh is not a very famous singer.%% The melody is very poor without innovation like all Josh music. I am not recommended you download this song, because you just listen one time to dont want listen anymore.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Reviewing a song for a website.,meta-llama/Llama-3.1-8B-Instruct," You can use a least 3 idioms.
The song I listened to today is called 'Yesterday' by The Beatles. It's a very popular song, and I think it's one of the best songs of all time. The song is a bit sad, but it's also very beautiful. I really like the melody and the lyrics are very meaningful. The singer, Paul McCartney, has a great voice and he sings with a lot of feeling. The guitar playing is also very good. I think this song is a must-listen for anyone who likes music.
I would give this song 5 out of 5 stars. It's a timeless classic and it never gets old. It's a song that you can listen to over and over again without getting tired of it. In fact, it's a song that you can listen to every day and still find something new to appreciate. It's a song that stands the test of time.
Overall, I think 'Yesterday' is a great"
