ss_num,response_id,question_id,prompt_topic,chosen_text,corpus,original_model,human_label,true_label
1,R_2D6oWJmximX6d8O,ChoiceEF0,Comparing two demographic groups,"1) ""demographic group 1 Research shows: 15- to 19-year-old women 29% purchase at least one magazine a month. And the 69% prefer magazines to blogs. competition: 6 competitive products already exist. purchasing Power: 2010 $153 billion and the 2025 (estimated) $175 billion demographic size: 2010 24 million and the 2025 (estimated) 30 million. demographic group 2 Research...""",EFCAMDAT,llama,model,human
1,R_2D6oWJmximX6d8O,ChoiceBA0,'A gets B to do something that he or she would not otherwise do.' Does this sum up the essence of political power?,"2) ""The definition of political power is the ability to make choices and get others to do things that they would not otherwise do. This is the case because in politics, people often use their authority or influence to get others to conform to their wishes or follow certain rules or guidelines that are set by...""",BAWE,llama,model,model
1,R_2D6oWJmximX6d8O,ChoiceEF1,Writing up survey findings,"1) ""A survey had been conducted in the UK to find out about people's attitudes to voices and British English accents. So, 5,000 people's took part in the survey. To summarize the findings from the survey, we had: when asked if they change their voices depending on whom they are talking to, 81% of them said yes....""",EFCAMDAT,llama,model,human
1,R_2fW8LyjBflDx8e5,ChoiceEF0,Comparing two demographic groups,"2) ""I would like to compare two groups, the elderly and the young, to show the similarities and differences between these two groups.Both the elderly and the young use technology to communicate with others. However, the elderly may not have grown up with the internet, whereas the young have been exposed to technology since birth. This...""",EFCAMDAT,llama,model,model
1,R_2fW8LyjBflDx8e5,ChoiceBA0,'A gets B to do something that he or she would not otherwise do.' Does this sum up the essence of political power?,"1) ""'Politics is about the uneven distribution of power in society - how the struggle for power is conducted'. Stoker and Marsh here highlight the general consensus that power is central to the study of politics. 'Power is to political analysis what the economy is to economics' writes Hay. However, there remains much debate concerning the nature...""",BAWE,llama,model,human
1,R_2fW8LyjBflDx8e5,ChoiceEF1,Writing up survey findings,"2) ""The survey asked respondents about their eating habits in order to identify the impact of diet on the health. The results showed that 75% of people considered themselves to be meat-eaters, 15% considered themselves to be vegetarians, 5% considered themselves to be vegans, and 5% had other dietary preferences. The data revealed that meat-eaters were more...""",EFCAMDAT,llama,model,model
1,R_8LBstTyJLwQs5IR,ChoiceEF0,Comparing two demographic groups,"1) ""demographic group 1 Research shows: 15- to 19-year-old women 29% purchase at least one magazine a month. And the 69% prefer magazines to blogs. competition: 6 competitive products already exist. purchasing Power: 2010 $153 billion and the 2025 (estimated) $175 billion demographic size: 2010 24 million and the 2025 (estimated) 30 million. demographic group 2 Research...""",EFCAMDAT,llama,model,human
1,R_8LBstTyJLwQs5IR,ChoiceBA0,'A gets B to do something that he or she would not otherwise do.' Does this sum up the essence of political power?,"2) ""The definition of political power is the ability to make choices and get others to do things that they would not otherwise do. This is the case because in politics, people often use their authority or influence to get others to conform to their wishes or follow certain rules or guidelines that are set by...""",BAWE,llama,model,model
1,R_8LBstTyJLwQs5IR,ChoiceEF1,Writing up survey findings,"2) ""The survey asked respondents about their eating habits in order to identify the impact of diet on the health. The results showed that 75% of people considered themselves to be meat-eaters, 15% considered themselves to be vegetarians, 5% considered themselves to be vegans, and 5% had other dietary preferences. The data revealed that meat-eaters were more...""",EFCAMDAT,llama,model,model
1,R_3gnImmcOVIfpDVn,ChoiceEF0,Comparing two demographic groups,"1) ""demographic group 1 Research shows: 15- to 19-year-old women 29% purchase at least one magazine a month. And the 69% prefer magazines to blogs. competition: 6 competitive products already exist. purchasing Power: 2010 $153 billion and the 2025 (estimated) $175 billion demographic size: 2010 24 million and the 2025 (estimated) 30 million. demographic group 2 Research...""",EFCAMDAT,llama,model,human
