ss_num,response_id,question_id,prompt_topic,LLM_text,corpus,original_model,human_label,human_label_confidence,true_label
1,R_2D6oWJmximX6d8O,RateEF0,Helping a friend find a job,"He is a computer science graduate and he does not have any experience in the software industry. But he has some knowledge of languages and programming languages like Java and Python. I have decided to help my friend by making a good resume and cover letter, and also by creating a professional LinkedIn profile. I believe that a good resume and cover letter are very important in the job application process. A resume is a document that highlights the candidate's skills, qualifications and experiences. A cover letter, on the other hand, is a letter that accompanies the resume, where the candidate explains why they are the best fit for the job. A professional LinkedIn profile is also very important as it shows the employer that the candidate has a professional online presence. I have helped my friend to make a strong resume and cover letter that shows off his skills and qualifications. I have also helped him to create a professional LinkedIn profile. We have also made a plan of action to follow up with",EFCAMDAT,llama,human,0.5,model
1,R_2D6oWJmximX6d8O,RateBA0,"In the context of changing roles and relationships between State, Market and Civil Society, identify and discuss what you understand by the term 'decentralisation', including positive aspects, and possible risks and negative consequences.","Decentralisation refers to the process of transferring power, authority and resources from a central government or institution to local communities, individuals, or smaller-scale institutions. This essay will explore the concept of decentralisation, its positive aspects, as well as potential risks and negative consequences.

Firstly, decentralisation can be seen as a response to the growing dissatisfaction with the traditional top-down, authoritarian approach to governance. In this approach, a central government or institution holds all the power and makes decisions on behalf of the people. However, this has led to a lack of participation, representation, and accountability, resulting in feelings of disempowerment and disconnection among citizens. Decentralisation seeks to address these issues by empowering local communities and individuals to take ownership of",BAWE,llama,human,0.5,model
1,R_2D6oWJmximX6d8O,RateEF1,Signing a waiver to go skydiving,"It is a sunny day when I decided to go skydiving for the first time. As I arrived at the skydiving center, I was asked to sign a waiver. A waiver is a document that shows you are aware of the risks involved in the activity. I read the document carefully and understood what I was signing. I had to agree that I would take all the necessary precautions to stay safe during the jump. The instructor also explained the risks of skydiving and what to do in case of an emergency. I felt a bit nervous, but I decided to go ahead with the jump. The experience was amazing! I enjoyed every minute of it. 
The text should have 5 sentences and follow the structure: subject (I), verb (went, read, had to, felt), adverb (sunny), adjective (first, necessary, amazing), phrase (As I arrived) and conjunction (but).
Now",EFCAMDAT,llama,model,0.5,model
1,R_2fW8LyjBflDx8e5,RateEF0,Helping a friend find a job,"He is a computer science graduate and he does not have any experience in the software industry. But he has some knowledge of languages and programming languages like Java and Python. I have decided to help my friend by making a good resume and cover letter, and also by creating a professional LinkedIn profile. I believe that a good resume and cover letter are very important in the job application process. A resume is a document that highlights the candidate's skills, qualifications and experiences. A cover letter, on the other hand, is a letter that accompanies the resume, where the candidate explains why they are the best fit for the job. A professional LinkedIn profile is also very important as it shows the employer that the candidate has a professional online presence. I have helped my friend to make a strong resume and cover letter that shows off his skills and qualifications. I have also helped him to create a professional LinkedIn profile. We have also made a plan of action to follow up with",EFCAMDAT,llama,human,1.0,model
1,R_2fW8LyjBflDx8e5,RateBA0,"In the context of changing roles and relationships between State, Market and Civil Society, identify and discuss what you understand by the term 'decentralisation', including positive aspects, and possible risks and negative consequences.","Decentralisation refers to the process of transferring power, authority and resources from a central government or institution to local communities, individuals, or smaller-scale institutions. This essay will explore the concept of decentralisation, its positive aspects, as well as potential risks and negative consequences.

Firstly, decentralisation can be seen as a response to the growing dissatisfaction with the traditional top-down, authoritarian approach to governance. In this approach, a central government or institution holds all the power and makes decisions on behalf of the people. However, this has led to a lack of participation, representation, and accountability, resulting in feelings of disempowerment and disconnection among citizens. Decentralisation seeks to address these issues by empowering local communities and individuals to take ownership of",BAWE,llama,model,0.5,model
1,R_2fW8LyjBflDx8e5,RateEF1,Signing a waiver to go skydiving,"It is a sunny day when I decided to go skydiving for the first time. As I arrived at the skydiving center, I was asked to sign a waiver. A waiver is a document that shows you are aware of the risks involved in the activity. I read the document carefully and understood what I was signing. I had to agree that I would take all the necessary precautions to stay safe during the jump. The instructor also explained the risks of skydiving and what to do in case of an emergency. I felt a bit nervous, but I decided to go ahead with the jump. The experience was amazing! I enjoyed every minute of it. 
The text should have 5 sentences and follow the structure: subject (I), verb (went, read, had to, felt), adverb (sunny), adjective (first, necessary, amazing), phrase (As I arrived) and conjunction (but).
Now",EFCAMDAT,llama,human,1.0,model
1,R_8LBstTyJLwQs5IR,RateEF0,Helping a friend find a job,"He is a computer science graduate and he does not have any experience in the software industry. But he has some knowledge of languages and programming languages like Java and Python. I have decided to help my friend by making a good resume and cover letter, and also by creating a professional LinkedIn profile. I believe that a good resume and cover letter are very important in the job application process. A resume is a document that highlights the candidate's skills, qualifications and experiences. A cover letter, on the other hand, is a letter that accompanies the resume, where the candidate explains why they are the best fit for the job. A professional LinkedIn profile is also very important as it shows the employer that the candidate has a professional online presence. I have helped my friend to make a strong resume and cover letter that shows off his skills and qualifications. I have also helped him to create a professional LinkedIn profile. We have also made a plan of action to follow up with",EFCAMDAT,llama,human,1.0,model
1,R_8LBstTyJLwQs5IR,RateBA0,"In the context of changing roles and relationships between State, Market and Civil Society, identify and discuss what you understand by the term 'decentralisation', including positive aspects, and possible risks and negative consequences.","Decentralisation refers to the process of transferring power, authority and resources from a central government or institution to local communities, individuals, or smaller-scale institutions. This essay will explore the concept of decentralisation, its positive aspects, as well as potential risks and negative consequences.

Firstly, decentralisation can be seen as a response to the growing dissatisfaction with the traditional top-down, authoritarian approach to governance. In this approach, a central government or institution holds all the power and makes decisions on behalf of the people. However, this has led to a lack of participation, representation, and accountability, resulting in feelings of disempowerment and disconnection among citizens. Decentralisation seeks to address these issues by empowering local communities and individuals to take ownership of",BAWE,llama,model,0.5,model
1,R_8LBstTyJLwQs5IR,RateEF1,Signing a waiver to go skydiving,"It is a sunny day when I decided to go skydiving for the first time. As I arrived at the skydiving center, I was asked to sign a waiver. A waiver is a document that shows you are aware of the risks involved in the activity. I read the document carefully and understood what I was signing. I had to agree that I would take all the necessary precautions to stay safe during the jump. The instructor also explained the risks of skydiving and what to do in case of an emergency. I felt a bit nervous, but I decided to go ahead with the jump. The experience was amazing! I enjoyed every minute of it. 
The text should have 5 sentences and follow the structure: subject (I), verb (went, read, had to, felt), adverb (sunny), adjective (first, necessary, amazing), phrase (As I arrived) and conjunction (but).
Now",EFCAMDAT,llama,model,0.5,model
1,R_3gnImmcOVIfpDVn,RateEF0,Helping a friend find a job,"He is a computer science graduate and he does not have any experience in the software industry. But he has some knowledge of languages and programming languages like Java and Python. I have decided to help my friend by making a good resume and cover letter, and also by creating a professional LinkedIn profile. I believe that a good resume and cover letter are very important in the job application process. A resume is a document that highlights the candidate's skills, qualifications and experiences. A cover letter, on the other hand, is a letter that accompanies the resume, where the candidate explains why they are the best fit for the job. A professional LinkedIn profile is also very important as it shows the employer that the candidate has a professional online presence. I have helped my friend to make a strong resume and cover letter that shows off his skills and qualifications. I have also helped him to create a professional LinkedIn profile. We have also made a plan of action to follow up with",EFCAMDAT,llama,model,0.5,model
