StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateEF3,RateEF3why,RateEF3rewrite,RateBA3,RateBA3why,RateBA3rewrite,RateEF4,RateEF4why,RateEF4rewrite,ChoiceEF3,ChoiceEF3why,ChoiceEF3rewrite,ChoiceBA3,ChoiceBA3why,ChoiceBA3rewrite,ChoiceEF4,ChoiceEF4why,ChoiceEF4rewrite,SC0
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Score
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID5983""}","{""ImportId"":""QID5985_TEXT""}","{""ImportId"":""QID5987_TEXT""}","{""ImportId"":""QID5990""}","{""ImportId"":""QID5992_TEXT""}","{""ImportId"":""QID5994_TEXT""}","{""ImportId"":""QID5997""}","{""ImportId"":""QID5999_TEXT""}","{""ImportId"":""QID6001_TEXT""}","{""ImportId"":""QID6002""}","{""ImportId"":""QID6005_TEXT""}","{""ImportId"":""QID6008_TEXT""}","{""ImportId"":""QID6009""}","{""ImportId"":""QID6012_TEXT""}","{""ImportId"":""QID6015_TEXT""}","{""ImportId"":""QID6016""}","{""ImportId"":""QID6019_TEXT""}","{""ImportId"":""QID6022_TEXT""}","{""ImportId"":""SC_29JizAYe3w8vwI6""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,5
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,5
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,,1
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,1
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,3 - Likely human,"The text is about learning English, so is likely written by a person who is still learning the language, therefore somewhat clunky sentences (e.g. it is very important for me to improve my study skills and learn more about academic English in order to achieve a high grade in my exams) track. Furthermore, the writer refers to themself as ""I"" throughout, and while I understand that an LLM can be trained to do this, it feels more human, especially where it talks about lived experience, e.g. ""I try to read newspapers and magasines"". ","It's very important that I improve my study skills and learn more about academic English to do well in my exams. I need to work on my reading comprehension. At the moment, I find myself strugging to understand academic articles without getting confused or lost. I have started to read simpler texts, and aim to move onto more complex ones over time. For example, I try to read newspapers and magasines...",3 - Likely human,"The structure of the paragraph feels logical, each sentence does its own work and none of them feel superfluous or misplaced, as they might in an AI. This feels like well written, academic English. However, given that LLMs improve everyday, I am still skeptical. ","The term describes the psychological symptoms exhibited by women who have suffered physical and emotional abuse by their partner over a long period. The 'battered woman syndrome' refers to a pattern of behavioural and psychological characteristics, including isolation, self-blame, and powerlessness, exhibited by victims of domestic violence. These symptoms can amplify abuse, which may lead to a state of self defense in which the woman feels compelled to use violence to protect herself. ",2 - Likely AI,"It feels like the writer has never played themself but are reading from the game's instruction manual. When I ask people to play a board game with me they need to know how the game works, not that we need to set up the board. ","Do you want to play ""Risk"" with me? Each player chooses a colour and put their coloured pieces on the map. There are 42 territories on the board, and each territory has its own number on it. We will rll the dice to see who starts the game...

I would probably include some more details about what the object of the game is and how you win, but I don't know how risk works and the text doesn't give me this information","2) ""They were hard to understand and the textbook was not interesting for me. So I began to look for English language resources on the internet. One day, I discovered a blog about the English language. I was very happy to read interesting articles, exercises and watch videos about the grammar rules, idiomatic expressions and the daily...""","Text 2 has long winded and clunky sentences. What human talks about idiomatic expressions. I have English as a primary language and I don't even know what those are. 

Text 1 feels more human because it sounds like something that someone might say aloud, especially someone with ESL status. Perhaps it helps that we have the person's name. ","The texts were hard to understand and the textbook was not interesting. I began looking for English language resources online. I found a blog about the English language which included interesting articles, exercises and videos about the grammar, expressions, and... ","2) ""There are many references these days to e-something and this essay looks in particular at what e-learning is and how it can be used in the learning environment. The relevance of e-learning to meeting today's employment skills and the identification of which skills are sought after by employers are investigated. Not forgetting government policies, these are...""","Text 1 is specific and feels the need to specify that e-learning is electronic learning, as if the writer themself has never heard of it. The way it lists ""a wide range of benefits"" also feels AI generated - LLMs loooove a list. 

Meanwhile, text 2 feels more human because of its rougher and more colloquial tone. Phrases like e-something, in particular, not forgetting etc feel like something someone might say out loud in conversation. ","""The development of information and communication technology (ICT) has enabled the delivery of e-learning. E-learning offers students flexible learning schedules, reduced travel time and costs, and access to quality learning, and has been adopted by universities worldwide""","2) ""In the future, it is expected that remote work will become more common. Therefore, people may choose to live in locations with a high quality of life, such as countries with a low cost of living, beautiful scenery, or access to the ocean. As a result, people may also have the opportunity to work in their...""","Text 1 feels like something someone would say out loud, statements like check them out, probably, and dealing with all feel colloquial.

Text 2 is more clunky, formal, and technical. ""In the future, it is expected that remote work will become more common"" ☝️🤓","In the future, remote work will likely become more common. Therefore, people may choose to live in countries with a low cost of living, beautiful scenery, or access to the ocean. People may also have the opportunity to work in their...",3
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,,5
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,,,,,,,,,,,,,,,,,,,4
