StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateBA7,RateBA7why,RateBA7rewrite,RateEF8,RateEF8why,RateEF8rewrite,RateBA8,RateBA8why,RateBA8rewrite,ChoiceBA7,ChoiceBA7why,ChoiceBA7rewrite,ChoiceEF8,ChoiceEF8why,ChoiceEF8rewrite,ChoiceBA8,ChoiceBA8why,ChoiceBA8rewrite,SC0
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Score
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID6109""}","{""ImportId"":""QID6111_TEXT""}","{""ImportId"":""QID6113_TEXT""}","{""ImportId"":""QID6116""}","{""ImportId"":""QID6118_TEXT""}","{""ImportId"":""QID6120_TEXT""}","{""ImportId"":""QID6123""}","{""ImportId"":""QID6125_TEXT""}","{""ImportId"":""QID6127_TEXT""}","{""ImportId"":""QID6128""}","{""ImportId"":""QID6131_TEXT""}","{""ImportId"":""QID6134_TEXT""}","{""ImportId"":""QID6135""}","{""ImportId"":""QID6138_TEXT""}","{""ImportId"":""QID6141_TEXT""}","{""ImportId"":""QID6142""}","{""ImportId"":""QID6145_TEXT""}","{""ImportId"":""QID6148_TEXT""}","{""ImportId"":""SC_29JizAYe3w8vwI6""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,5
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,5
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,,1
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,3 - Likely human,"The sentences at the end of the paragraph are quite short, which seems like a ”mistake” that GAI wouldn’t make. Similarly, the phrasing ”but also in the subtle nuances of communication conveyed through pragmatic analysis” doesn’t seem logical to me, (how can the nuances be conveyed through a method of analysis?), and a mistake in the text makes it seem human-written.","The show's success lies not only in its witty dialogue but also in the subtle nuances of communication, which are evident from pragmatic analysis. This essay will delve into a specific script from ""Friends,"" examining how the characters’ pragmatic choices contribute to the humor, conflict, and overall meaning of the scene. The chosen script focuses on the episode ""The One Where Ross Finds Out"" (Season 5), in which Ross has suspicions about Rachel dating Mark, his annoying coworker. Rachel, unaware of Ross's knowledge, playfully describes Mark as ""a pretty...",1 - Definitely AI,The text in parentheses seems like GAI trying to answer a prompt? They don’t make sense for a human.,Without the parentheses.,3 - Likely human,"I’ve heard GAI isn’t good at creative writing and this text is creative. The language isn’t a standardised variation, so either GAI was prompted to create this type of text or it was written by a human (more likely, I think).",,"2) ""Gifts and exchange are integral to everyday life, for special occasions such as birthdays, doing well at a particular sport and religious festivities such as Christmas, baptism, confirmation and many more. Even on a day-to-day scale exchanges are taking place all the time in the form of telephone calls, letters, dances, dinner parties and just conversations...""","Because it is more of a standardised variety and more generic, which is how I would suppose it would appear due to it having been written based on a LLM","Make it more personal, interesting, non-generic.","2) ""When Meg came out from the coffee shop, she saw a young couple get out of a car. She was surprised when they suddenly began vandalizing the local newsagent. She decided to go over to them to see if she could get them to stop. suddenly the young woman came at her waving a gun. The...""","GAI cannot relate to real-world feelings, which is what I get from the firsr text. It’s generic and non-personal. The second one sounds like a real-world story and not made up.",Make it less generic and more personal.,"2) ""The change of dynasty in Spain at the turn of the 18 th century from Habsburg to Bourbon became a significant milestone for the future of Spanish America. Philip of Anjou, the grandson of Louis XIV of France in 1713, succeeded Charles II, the last of the Habsburg line. Spain's weak economical and military situation, the...""",This was difficult. I guess the first one is again more creative.,-,1
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,,5
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,,,,,,,,,,,,,,,,,,,4
2025-03-25 11:27:27,2025-03-25 14:03:04,IP Address,100,9337,True,2025-03-25 14:03:06,R_2D6oWJmximX6d8O,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,,2
2025-03-25 15:23:20,2025-03-25 15:49:05,IP Address,100,1544,True,2025-03-25 15:49:06,R_82KVXcfDy0zJ2Fm,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 15:47:25,2025-03-25 16:04:30,IP Address,100,1024,True,2025-03-25 16:04:31,R_8E9PGqDfnVqCYbL,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,4
2025-03-25 16:17:21,2025-03-25 16:32:12,IP Address,100,891,True,2025-03-25 16:32:13,R_2cGn1SD9AMXprjz,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 16:27:19,2025-03-25 16:38:44,IP Address,100,684,True,2025-03-25 16:38:44,R_8AjFWN7QF0lk3Yd,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 16:03:35,2025-03-25 17:17:42,IP Address,100,4447,True,2025-03-25 17:17:43,R_2fW8LyjBflDx8e5,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 17:29:44,2025-03-25 17:47:55,IP Address,100,1090,True,2025-03-25 17:47:56,R_8qjHWGKCsUwADw4,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 18:31:10,2025-03-25 19:03:18,IP Address,100,1928,True,2025-03-25 19:03:18,R_2sLQa0FwOW0n2kF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,No,Student,,Woman,2 - Likely AI,"LLMs tend to use lists of three things (in this example: humor, conflict and overall meaning) in their descriptions. Phrases like 'the chosen script' would also be strange for a human to use, although not definitive. ","The show's success lies not only in its witty dialogue but also in the nuances of the character's nonverbal communication. This essay will delve into the episode ""The One Where Ross Finds Out"" (Season 5), examining how the actors’ choices contribute to the humor, conflict, and overall meaning of the scene. 

In the first scene we'll focus on, Ross has suspicions about Rachel dating Mark, his annoying coworker. Rachel, unaware of Ross's knowledge, playfully describes Mark as ""a pretty..."" ",3 - Likely human,"The advice is relatively specific to a certain situation. The bracketed portions are a little odd, and could be a sign of machine generation, but could also be an addition by a human.","""I thought you did a fantastic job on the visuals. The slides were clear, engaging, and really helped illustrate your points. One area where I think you could improve is your delivery. During certain parts, I felt you seemed a little nervous, which made it slightly hard to follow your train of thought. Maybe practicing in front of a mirror or a smaller group beforehand could help boost your confidence. Overall, though, it was a great presentation and I appreciated...""",2 - Likely AI,"The mention of Frankenstein is strange, because it isn't generally considered a gothic novel and would be strange to mention in this context. It also switched from considering whether the gothic genre is always subversive to backing up that point? Could be due to simply being cut off before the point was finished, but typically machine generated text doesn't have a good sense of structure. ","It shivers with a sense of the transgressive, a yearning for the forbidden. The genre often challenges societal norms and power structures, for example in Horace Walpole's 'The Castle of Otranto'. 'The Castle of Otranto' is considered the first Gothic novel and presents a crumbling aristocracy under threat from a mysterious force, mirroring anxieties about societal upheaval in 18th-century England.","2) ""Gifts and exchange are integral to everyday life, for special occasions such as birthdays, doing well at a particular sport and religious festivities such as Christmas, baptism, confirmation and many more. Even on a day-to-day scale exchanges are taking place all the time in the form of telephone calls, letters, dances, dinner parties and just conversations...""","Machine generated text tends to output long 'lists', as seen in text 2. Text 2 is particularly obvious, as it output two lists. Machine generated text also tends to output more 'common denominator' text for these types of prompts and doesn't generally use more specialist language unless asked to generate it. ","Gifts and exchange are integral in most cultures, both for everyday life and for special occasions like religious holidays or birthdays. In everyday life, exchange is seen in the form of telephone calls, dinner parties and conversations...","1) ""My friends and I decided to hike to a scenic viewpoint, but the weather turned quickly. The sun disappeared, and the wind howled through the trees, sending shivers down my spine. It started to rain heavily, and soon the path became muddy and slippery. As we climbed, the visibility decreased, and we lost our way. Fear...""",Text 1 uses more overly dramatic language and repeats several of the same grammatical mistakes (oxford commas). Text 2 is written more plainly.,"My friends and I decided to hike to a scenic viewpoint, but the weather turned quickly. The sun disappeared and the wind got stronger, then it started to rain heavily and soon the path became slippery. As we climbed, the visibility decreased, and we lost our way.","2) ""The change of dynasty in Spain at the turn of the 18 th century from Habsburg to Bourbon became a significant milestone for the future of Spanish America. Philip of Anjou, the grandson of Louis XIV of France in 1713, succeeded Charles II, the last of the Habsburg line. Spain's weak economical and military situation, the...""","Strange grammar, either indicative of poor english language skills or a slightly crappy MG text.","The change of dynasty in Spain at the turn of the 18th century from Habsburg to Bourbon became a significant milestone for the future of Latin America. Philip of Anjou, the grandson of Louis XIV of France, succeeded the last of the Habsburg line in 1700. Spain's weak economic and military situation, the...""",3
2025-03-25 12:00:20,2025-03-25 19:31:50,IP Address,100,27089,True,2025-03-25 19:31:50,R_2X5Kw4Fck7mrvuF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 19:18:13,2025-03-25 20:00:48,IP Address,100,2555,True,2025-03-25 20:00:49,R_8WJds7hsSYMO3SI,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 19:55:54,2025-03-25 20:13:50,IP Address,100,1075,True,2025-03-25 20:13:50,R_8FtFNSF5BlCm3oE,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 22:35:49,2025-03-25 22:50:40,IP Address,100,890,True,2025-03-25 22:50:40,R_8OriQB4hUAhjPsj,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-26 08:17:06,2025-03-26 08:31:35,IP Address,100,868,True,2025-03-26 08:31:35,R_8LBstTyJLwQs5IR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Information Technology (IT) and Software Development,,Man,,,,,,,,,,,,,,,,,,,4
2025-03-26 13:37:40,2025-03-26 14:31:34,IP Address,100,3233,True,2025-03-26 14:31:34,R_3gnImmcOVIfpDVn,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,Other (specify in the text box below),Human Resources,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-26 14:43:19,2025-03-26 14:55:15,IP Address,100,715,True,2025-03-26 14:55:16,R_2gSCuJoZXCjs8I3,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,3 - Likely human,Lack of some punctuation. The adjectives used feel human like,"The show's success lies not only in it’s witty dialogue but also in the subtle nuances of communication conveyed through pragmatic analysis. This essay will delve into a specific script from ""Friends,"" examining how the characters’ pragmatic choices contribute to the humor, conflict, and overall meaning of the scene. The chosen script focuses on the episode ""The One Where Ross Finds Out"" (Season 5). In this scene, Ross has suspicions about Rachel dating Mark, his annoying coworker. Rachel, unaware of Ross's knowledge, playfully describes Mark as ""a pretty...",2 - Likely AI,Feels very unnatural to state exactly which parts are positive during speech. If written correctly and with confidence it should be clear which is positive feedback and which is constructive criticism ,"I thought you did a fantastic job on the visuals. The slides were clear, engaging, and really helped illustrate your points. One area where I think you could improve is your delivery. During certain parts, I felt you seemed a little nervous, which made it slightly hard to follow your train of thought. Maybe practicing in front of a mirror or a smaller group beforehand could help boost your confidence. Overall, though, it was a great presentation and I appreciated",1 - Definitely AI,The stars around words hint to me that this is AI and the formatting has not carried over successfully ,"It shivers with a sense of the transgressive, a yearning for the forbidden. Yet, asking whether The Gothic is always subversive requires careful consideration. While the genre often challenges societal norms and power structures, it can also reinforce them, blurring the line between rebellion and complicity. Certainly, Gothic literature has a long history of offering critique. Horace Walpole's The Castle of Otranto, considered the first Gothic novel, presents a crumbling aristocracy under threat from a mysterious force, mirroring anxieties about societal upheaval in 18th-century England. Mary Shelley’s Frankenstein","1) ""Yet, upon closer examination, the practice of gift-giving transcends its material value, acting as a complex social phenomenon that reveals much about the broader social organization of participating cultures. Analysing attitudes towards gifts and exchanges exposes underlying power dynamics, social hierarchies, obligations, and even notions of reciprocity. One striking example is the practice of presentism found...""","Text one has a lack of emotion and common experiences, the writing is very formal making it seem less human like","The practice of gift-giving transcends its material value, it has become a complex social phenomenon that reveals much about the broader social organization of participating cultures. Analysing attitudes towards gifts and exchanges exposes underlying power dynamics, social hierarchies, obligations, and even notions of reciprocity. One striking example is the practice of presentism found...","2) ""When Meg came out from the coffee shop, she saw a young couple get out of a car. She was surprised when they suddenly began vandalizing the local newsagent. She decided to go over to them to see if she could get them to stop. suddenly the young woman came at her waving a gun. The...""",Text 2 has less adjectives and emotion behind it therefore seeming more like AI,"When Meg came out from the coffee shop, she saw a young couple get out of a car. She was shocked and surprised when they suddenly began vandalizing the local newsagent. She decided to brave her fears and go over to them to see if she could get them to stop. suddenly the unexpected happened the young woman came at her waving a gun. The","2) ""The change of dynasty in Spain at the turn of the 18 th century from Habsburg to Bourbon became a significant milestone for the future of Spanish America. Philip of Anjou, the grandson of Louis XIV of France in 1713, succeeded Charles II, the last of the Habsburg line. Spain's weak economical and military situation, the...""",Although Text 2 was easier for me to understand I believe the very specific but potentially slightly unnecessary facts lean more towards AI ,"The change of dynasty in Spain at the turn of the 18th century from Habsburg to Bourbon became a significant milestone for the future of Spanish America. Philip of Anjou, the grandson of Louis XIV, succeeded Charles II, the last of the Habsburg line. Spain's weak economical and military situation, the..",3
2025-03-26 00:30:22,2025-03-26 22:00:27,IP Address,100,77405,True,2025-03-26 22:00:28,R_8kzEicqoVh0UfJp,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,4
2025-03-26 16:32:57,2025-03-27 10:05:26,IP Address,100,63148,True,2025-03-27 10:05:26,R_8RWp0La3Sr6myQx,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Man,,,,,,,,,,,,,,,,,,,2
2025-03-27 08:26:11,2025-03-27 11:17:22,IP Address,100,10270,True,2025-03-27 11:17:22,R_8w6LDWL9G3T8TLh,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,6
2025-03-28 10:07:45,2025-03-28 10:49:07,IP Address,100,2481,True,2025-03-28 10:49:07,R_81HPZeKlzGQZ2ww,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Education/Academia,,Man,,,,,,,,,,,,,,,,,,,4
