StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateEF12,RateEF12why,RateEF12rewrite,RateBA12,RateBA12why,RateBA12rewrite,RateEF13,RateEF13why,RateEF13rewrite,ChoiceEF12,ChoiceEF12why,ChoiceEF12rewrite,ChoiceBA12,ChoiceBA12why,ChoiceBA12rewrite,ChoiceEF13,ChoiceEF13why,ChoiceEF13rewrite
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one)
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID6235""}","{""ImportId"":""QID6237_TEXT""}","{""ImportId"":""QID6239_TEXT""}","{""ImportId"":""QID6242""}","{""ImportId"":""QID6244_TEXT""}","{""ImportId"":""QID6246_TEXT""}","{""ImportId"":""QID6249""}","{""ImportId"":""QID6251_TEXT""}","{""ImportId"":""QID6253_TEXT""}","{""ImportId"":""QID6254""}","{""ImportId"":""QID6257_TEXT""}","{""ImportId"":""QID6260_TEXT""}","{""ImportId"":""QID6261""}","{""ImportId"":""QID6264_TEXT""}","{""ImportId"":""QID6267_TEXT""}","{""ImportId"":""QID6268""}","{""ImportId"":""QID6271_TEXT""}","{""ImportId"":""QID6274_TEXT""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,1 - Definitely AI,"It uses very generic sentences
","""In this article, I will be reviewing his latest masterpiece ""Blinding Lights"", a song that has been illuminating the charts and captivating the hearts of millions of people, around the world. First, let's talk about the lyrics. The Weeknd's work is consistently impressive, and ""Blinding Lights"" is no exception.  With themes such as lost love and the consequences of living life in the fast lane, The Weeknd  captures the raw emotions of a heart broken and a man desperate to move forward, amidst the chaos...",3 - Likely human,I believe it is more natural and the flow is better,It was likely human,1 - Definitely AI,Let's dive into it is very AI,"As English learners and aspiring professionals, it is essential to familiarize ourselves with the vocabulary and expressions used in various industries. Firstly, it is necessary to understand the requirements and preferences of affluent clients. The definition of 'wealthy client' may depend, but for the sake of this discussion, we will consider them as those with substantial financial resources who seek high-end, luxurious properties. The first step in finding a home for a wealthy client is to establish a strong relationship built on trust and professionalism,..","1) ""I am writing to extend my heartfelt congratulations on your recent achievement. Being honored with the award is a truly remarkable feat and I am absolutely thrilled for you. I have always known you to be an exceptional individual, full of talent and dedication. Your hard work and perseverance have finally paid off. To receive...""",It is way too cheesy,I am writing to congratulate you on your recent achievement. Being given the award is a truly awesome milestone and  I am excited for you. I have always known you to be a hard working and dedicated individual. ,"2) ""The Significance of Language in Constructing Identity and Its Reflection in Personal Experience Introduction Language plays a pivotal role in society, serving not only as a medium for communication but also as a crucial tool in shaping individual and collective identities. It's through language that we express thoughts, emotions, and experiences, thereby defining ourselves and understanding...""",Overcomplicating words for the sake of it,"The Significance of Language in Constructing Identity and Its Reflection in Personal Experience Introduction Language plays a crucial role in society, serving not only as a medium for communication, but also as a  tool in shaping individual and collective identities. It's through language that we express thoughts, emotions, and experiences, thereby defining ourselves and understanding...","2) ""I've been thinking a lot about our conversation the other day, and I felt it was important to share my thoughts with you. First, I want to express my concern about the plan you have been discussing. I understand that it may seem exciting or even necessary, but I believe there are potential risks involved that...""",Option 2 sounds way too generic and less personal,"I've been thinking a lot about our conversation the other day, and would liken to speak with you. I understand that it may seem exciting or even necessary, but I believe there are potential risks involved that..."
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,,,,,,,,,,,,,,,,,,
