n-gram,count
"('meat', 'eaters')",6
"('southern', 'chinese')",6
"('chinese', 'dialects')",6
"('northern', 'chinese')",6
"('floating', 'charge')",6
"('e', 'learning')",5
"('social', 'contract')",5
"('survey', 'asked')",3
"('asked', 'respondents')",3
"('respondents', 'eating')",3
"('eating', 'habits')",3
"('identify', 'impact')",3
"('impact', 'diet')",3
"('diet', 'health')",3
"('health', 'results')",3
"('showed', '75')",3
"('75', 'people')",3
"('people', 'considered')",3
"('considered', 'meat')",3
"('eaters', '15')",3
"('15', 'considered')",3
"('considered', 'vegetarians')",3
"('vegetarians', '5')",3
"('5', 'considered')",3
"('considered', 'vegans')",3
"('5', 'dietary')",3
"('dietary', 'preferences')",3
"('preferences', 'data')",3
"('academic', 'articles')",3
"('working', 'months')",3
"('innovative', 'software')",3
"('software', 'solutions')",3
"('solutions', 'time')",3
"('come', 'experience')",3
"('experience', 'west')",3
"('west', 'coast')",3
"('coast', 'magic')",3
"('team', 'led')",3
"('led', 'ms')",3
"('ms', 'tanaka')",3
"('tanaka', 'arrived')",3
"('sunny', 'monday')",3
"('monday', 'morning')",3
"('morning', 'sure')",3
"('sure', 'stay')",3
"('possible', 'personalised')",3
"('personalised', 'itineraries')",3
"('decision', 'making')",3
"('smoking', 'public')",3
"('public', 'places')",3
"('rousseau', 'social')",3
"('linguistic', 'feature')",3
"('northern', 'southern')",3
"('dialects', 'use')",3
"('use', 'postposition')",3
"('postposition', 'zanmen')",3
"('zanmen', '之imen')",3
"('historical', 'use')",3
"('use', 'zanmen')",3
"('zanmen', 'northern')",3
"('significance', 'subsequent')",3
"('subsequent', 'disappearance')",3
"('disappearance', 'southern')",3
"('origin', 'significance')",3
"('significance', 'northern')",3
"('chinese', 'zanmen')",3
"('politics', 'uneven')",2
"('uneven', 'distribution')",2
"('distribution', 'power')",2
"('power', 'society')",2
"('society', 'struggle')",2
"('struggle', 'power')",2
"('power', 'conducted')",2
"('conducted', 'stoker')",2
"('stoker', 'marsh')",2
"('marsh', 'highlight')",2
"('power', 'central')",2
"('central', 'study')",2
"('study', 'politics')",2
"('politics', 'power')",2
"('power', 'political')",2
"('political', 'analysis')",2
"('analysis', 'economy')",2
"('economy', 'economics')",2
"('economics', 'writes')",2
"('writes', 'hay')",2
"('habits', 'order')",2
"('order', 'identify')",2
"('results', 'showed')",2
"('vegans', '5')",2
"('revealed', 'meat')",2
"('poems', 'filled')",2
"('filled', 'human')",2
"('human', 'characters')",2
"('characters', 'stories')",2
"('stories', 'gods')",2
"('significant', 'role')",2
"('renewable', 'energy')",2
"('produce', 'pollution')",2
"('important', 'improve')",2
"('skills', 'learn')",2
"('reading', 'comprehension')",2
"('understand', 'academic')",2
"('getting', 'confused')",2
"('confused', 'lost')",2
"('started', 'read')",2
"('complex', 'ones')",2
"('example', 'try')",2
"('try', 'read')",2
"('read', 'newspapers')",2
"('hi', 'marcelo')",2
"('porto', 'alegre')",2
"('live', 'love')",2
"('second', 'child')",2
"('months', 'thinking')",2
"('thinking', 'finally')",2
"('finally', 'decided')",2
"('booked', 'skydive')",2
"('skydive', 'small')",2
"('small', 'company')",2
"('company', 'arrived')",2
"('arrived', 'drop')",2
"('drop', 'zone')",2
"('staff', 'friendly')",2
"('characters', 'novel')",2
"('esteban', 'trueba')",2
"('main', 'characters')",2
"('house', 'spirits')",2
"('spirits', 'obsessive')",2
"('obsessive', 'violent')",2
"('violent', 'materialistic')",2
"('life', 'business')",2
"('business', 'political')",2
"('political', 'careers')",2
"('careers', 'determined')",2
"('widespread', 'influence')",2
"('influence', 'lives')",2
"('lives', 'enslaved')",2
"('enslaved', 'africans')",2
"('christianity', 'fail')",2
"('lives', 'slaves')",2
"('slaves', 'mid-18th')",2
"('mid-18th', 'century')",2
"('equality', 'compassion')",2
"('inherent', 'contradiction')",2
"('time', 'come')",2
"('magic', 'firsthand')",2
"('firsthand', 'team')",2
"('itineraries', 'comfortable')",2
"('accommodations', 'working')",2
"('arrived', 'bright')",2
"('bright', 'sunny')",2
"('thought', 'fantastic')",2
"('fantastic', 'job')",2
"('job', 'visuals')",2
"('visuals', 'slides')",2
"('slides', 'clear')",2
"('clear', 'engaging')",2
"('engaging', 'helped')",2
"('helped', 'illustrate')",2
"('illustrate', 'points')",2
"('points', 'area')",2
"('area', 'think')",2
"('think', 'improve')",2
"('improve', 'delivery')",2
"('delivery', 'certain')",2
"('certain', 'parts')",2
"('parts', 'felt')",2
"('felt', 'little')",2
"('little', 'nervous')",2
"('nervous', 'slightly')",2
"('slightly', 'hard')",2
"('hard', 'follow')",2
"('follow', 'train')",2
"('train', 'thought')",2
"('thought', 'maybe')",2
"('maybe', 'practicing')",2
"('practicing', 'mirror')",2
"('mirror', 'smaller')",2
"('smaller', 'group')",2
"('group', 'help')",2
"('help', 'boost')",2
"('boost', 'confidence')",2
"('confidence', 'overall')",2
"('overall', 'great')",2
"('great', 'presentation')",2
"('presentation', 'appreciated')",2
"('d.', 'ross')",2
"('ross', 'deontological')",2
"('deontological', 'ethics')",2
"('ethics', 'argue')",2
"('argue', 'particularism')",2
"('plausible', 'alternative')",2
"('alternative', 'ross')",2
"('ross', 'advocates')",2
"('advocates', 'universal')",2
"('universal', 'moral')",2
"('moral', 'framework')",2
"('framework', 'encompassing')",2
"('encompassing', 'distinct')",2
