n-gram,count
"('sounds', 'human', 'like')",9
"('ai', 'generated', 'written')",4
"('sounds', 'ai', 'generated')",3
"('sounds', 'like', 'ai')",3
"('human', 'sounds', 'like')",3
"('☝', '️', '🤓')",3
"('sounds', 'like', 'written')",3
"('gut', 'feeling', 'gut')",3
"('sound', 'ai', 'generated')",3
"('likely', 'ai', 'generated')",2
"('ai', 'generated', 'llms')",2
"('ai', 'sounds', 'like')",2
"('like', 'ai', 'told')",2
"('states', 'cold', 'facts')",2
"('like', 'written', 'academic')",2
"('wide', 'range', 'benefits')",2
"('way', 'makes', 'sense')",2
"('think', 'ai', 'generated')",2
"('feel', 'human', 'like')",2
"('human', 'like', 'narrative')",2
"('human', 'like', 'second')",2
"('communication', 'conveyed', 'pragmatic')",2
"('conveyed', 'pragmatic', 'analysis')",2
"('machine', 'generated', 'tends')",2
"('generated', 'tends', 'output')",2
"('feeling', 'gut', 'feeling')",2
"('like', 'written', 'human')",2
"('delve', 'sound', 'ai')",2
"('word', 'delve', 'makes')",2
"('ai', 'generated', 'uses')",2
"('generated', 'uses', 'word')",2
"('uses', 'word', 'delve')",2
"('generated', 'written', 'plain')",1
"('written', 'plain', 'language')",1
"('plain', 'language', 'good')",1
"('language', 'good', 'flow')",1
"('good', 'flow', 'suspect')",1
"('flow', 'suspect', 'mondern')",1
"('suspect', 'mondern', 'llm')",1
"('mondern', 'llm', 'write')",1
"('llm', 'write', 'fluently')",1
"('write', 'fluently', 'think')",1
"('fluently', 'think', 'likely')",1
"('think', 'likely', 'written')",1
"('likely', 'written', 'human')",1
"('written', 'human', 'wirh')",1
"('human', 'wirh', 'avergae')",1
"('wirh', 'avergae', 'writing')",1
"('avergae', 'writing', 'skills')",1
"('writing', 'skills', 'believe')",1
"('skills', 'believe', 'second')",1
"('believe', 'second', 'ai')",1
"('second', 'ai', 'like')",1
"('ai', 'like', 'overall')",1
"('like', 'overall', 'higher')",1
"('overall', 'higher', 'level')",1
"('higher', 'level', 'start')",1
"('level', 'start', 'sounds')",1
"('start', 'sounds', 'bit')",1
"('sounds', 'bit', 'like')",1
"('bit', 'like', 'wikipedia')",1
"('like', 'wikipedia', 'article')",1
"('wikipedia', 'article', 'makes')",1
"('article', 'makes', 'suspicious')",1
"('makes', 'suspicious', 'ai')",1
"('suspicious', 'ai', 'tho')",1
"('ai', 'tho', 'structure')",1
"('tho', 'structure', 'flow')",1
"('structure', 'flow', 'human')",1
"('flow', 'human', 'like')",1
"('human', 'like', 'error')",1
"('like', 'error', 'tense')",1
"('error', 'tense', 'sunny')",1
"('tense', 'sunny', 'day')",1
"('sunny', 'day', 'sound')",1
"('day', 'sound', 'human')",1
"('sound', 'human', 'like')",1
"('human', 'like', 'huma')",1
"('like', 'huma', 'like')",1
"('huma', 'like', 'extremely')",1
"('like', 'extremely', 'chaotic')",1
"('extremely', 'chaotic', 'unnatural')",1
"('chaotic', 'unnatural', 'starting')",1
"('unnatural', 'starting', 'quote')",1
"('starting', 'quote', 'human')",1
"('quote', 'human', 'like')",1
"('human', 'like', 'odd')",1
"('like', 'odd', 'errors')",1
"('odd', 'errors', 'human')",1
"('errors', 'human', 'maybe')",1
"('human', 'maybe', 'usage')",1
"('maybe', 'usage', 'personal')",1
"('usage', 'personal', 'language')",1
"('personal', 'language', 'atypical')",1
"('language', 'atypical', 'llm')",1
"('atypical', 'llm', 'suggestion')",1
"('llm', 'suggestion', 'helping')",1
"('suggestion', 'helping', 'friend')",1
"('helping', 'friend', 'immediately')",1
"('friend', 'immediately', 'suggest')",1
"('immediately', 'suggest', 'written')",1
"('suggest', 'written', 'human')",1
"('written', 'human', 'llms')",1
"('human', 'llms', 'typically')",1
"('llms', 'typically', 'claim')",1
"('typically', 'claim', 'friends')",1
"('claim', 'friends', 'occasion')",1
"('friends', 'occasion', 'refers')",1
"('occasion', 'refers', 'beliefs')",1
"('refers', 'beliefs', 'concept')",1
"('beliefs', 'concept', 'generally')",1
"('concept', 'generally', 'favouring')",1
"('generally', 'favouring', 'author')",1
"('favouring', 'author', 'human')",1
"('author', 'human', 'overuses')",1
"('human', 'overuses', 'conjunctions')",1
"('overuses', 'conjunctions', 'suggesting')",1
"('conjunctions', 'suggesting', 'human')",1
"('suggesting', 'human', 'limited')",1
"('human', 'limited', 'vocabulary')",1
"('limited', 'vocabulary', 'wrote')",1
"('vocabulary', 'wrote', 'written')",1
"('wrote', 'written', 'hard')",1
"('written', 'hard', 'critique')",1
"('hard', 'critique', 'vocabulary')",1
"('critique', 'vocabulary', 'punctuation')",1
"('vocabulary', 'punctuation', 'grammar')",1
"('punctuation', 'grammar', 'superior')",1
"('grammar', 'superior', 'structure')",1
"('superior', 'structure', 'raises')",1
"('structure', 'raises', 'eyebrows')",1
"('raises', 'eyebrows', 'possibility')",1
"('eyebrows', 'possibility', 'llm')",1
"('possibility', 'llm', 'involvement')",1
"('llm', 'involvement', 'llms')",1
"('involvement', 'llms', 'frequently')",1
"('llms', 'frequently', 'short')",1
"('frequently', 'short', 'summaries')",1
"('short', 'summaries', 'topics')",1
"('summaries', 'topics', 'entering')",1
"('topics', 'entering', 'body')",1
"('entering', 'body', 'reads')",1
"('body', 'reads', 'matter')",1
"('reads', 'matter', 'factly')",1
"('matter', 'factly', 'whilst')",1
"('factly', 'whilst', 'remaining')",1
"('whilst', 'remaining', 'non')",1
"('remaining', 'non', 'committed')",1
"('non', 'committed', 'arguments')",1
"('committed', 'arguments', 'explores')",1
"('arguments', 'explores', 'decentralisation')",1
"('explores', 'decentralisation', 'seen')",1
"('decentralisation', 'seen', 'usage')",1
"('seen', 'usage', 'kind')",1
"('usage', 'kind', 'language')",1
"('kind', 'language', 'like')",1
"('language', 'like', 'large')",1
"('like', 'large', 'compression')",1
"('large', 'compression', 'summary')",1
"('compression', 'summary', 'argument')",1
"('summary', 'argument', 'typical')",1
"('argument', 'typical', 'llm')",1
"('typical', 'llm', 'responses')",1
"('llm', 'responses', 'tries')",1
"('responses', 'tries', 'hardest')",1
"('tries', 'hardest', 'remain')",1
"('hardest', 'remain', 'unbiased')",1
"('remain', 'unbiased', 'reporting')",1
"('unbiased', 'reporting', 'facts')",1
"('reporting', 'facts', 'likely')",1
"('facts', 'likely', 'human')",1
"('likely', 'human', 'able')",1
"('human', 'able', 'piece')",1
"('able', 'piece', 'obviously')",1
"('piece', 'obviously', 'personal')",1
"('obviously', 'personal', 'sentence')",1
"('personal', 'sentence', 'glaring')",1
"('sentence', 'glaring', 'grammar')",1
"('glaring', 'grammar', 'issue')",1
"('grammar', 'issue', 'llms')",1
"('issue', 'llms', 'accidentally')",1
"('llms', 'accidentally', 'sunny')",1
"('accidentally', 'sunny', 'day')",1
"('sunny', 'day', 'description')",1
"('day', 'description', 'waiver')",1
"('description', 'waiver', 'unusual')",1
"('waiver', 'unusual', 'suggests')",1
"('unusual', 'suggests', 'word')",1
"('suggests', 'word', 'new')",1
"('word', 'new', 'author')",1
"('new', 'author', 'piece')",1
"('author', 'piece', 'likely')",1
"('piece', 'likely', 'written')",1
"('likely', 'written', 'child')",1
"('written', 'child', 'writing')",1
"('child', 'writing', 'imaginative')",1
"('writing', 'imaginative', 'piece')",1
"('imaginative', 'piece', 'work')",1
"('piece', 'work', 'sounds')",1
"('work', 'sounds', 'likely')",1
"('sounds', 'likely', 'ai')",1
"('generated', 'llms', 'love')",1
"('llms', 'love', 'use')",1
"('love', 'use', 'comparative')",1
"('use', 'comparative', 'language')",1
"('comparative', 'language', 'tends')",1
"('language', 'tends', 'repeat')",1
"('tends', 'repeat', 'like')",1
"('repeat', 'like', 'compare')",1
"('like', 'compare', 'similarities')",1
"('compare', 'similarities', 'differences')",1
"('similarities', 'differences', 'second')",1
"('differences', 'second', 'party')",1
"('second', 'party', 'quote')",1
"('party', 'quote', 'particularly')",1
"('quote', 'particularly', 'necessary')",1
"('particularly', 'necessary', 'high')",1
"('necessary', 'high', 'reliance')",1
"('high', 'reliance', 'words')",1
"('reliance', 'words', 'llm')",1
"('words', 'llm', 'continually')",1
"('llm', 'continually', 'bring')",1
"('continually', 'bring', 'contrasting')",1
"('bring', 'contrasting', 'points')",1
"('contrasting', 'points', 'order')",1
"('points', 'order', 'remain')",1
"('order', 'remain', 'unbiased')",1
"('remain', 'unbiased', 'believe')",1
"('unbiased', 'believe', 'human')",1
"('believe', 'human', 'written')",1
"('human', 'written', 'piece')",1
"('written', 'piece', 'difficult')",1
"('piece', 'difficult', 'read')",1
"('difficult', 'read', 'little')",1
"('read', 'little', 'care')",1
"('little', 'care', 'taken')",1
"('care', 'taken', 'parse')",1
"('taken', 'parse', 'reader')",1
"('parse', 'reader', 'llms')",1
"('reader', 'llms', 'typically')",1
"('llms', 'typically', 'produce')",1
"('typically', 'produce', 'readable')",1
"('produce', 'readable', 'texts')",1
"('readable', 'texts', 'point')",1
"('texts', 'point', 'consideration')",1
"('point', 'consideration', 'llms')",1
"('consideration', 'llms', 'typically')",1
"('llms', 'typically', 'quote')",1
"('typically', 'quote', 'facts')",1
"('quote', 'facts', 'figures')",1
"('facts', 'figures', 'extent')",1
"('figures', 'extent', 'author')",1
"('extent', 'author', 'inability')",1
"('author', 'inability', 'understand')",1
"('inability', 'understand', 'consider')",1
"('understand', 'consider', 'meaning')",1
"('consider', 'meaning', 'data')",1
"('meaning', 'data', 'sounds')",1
"('data', 'sounds', 'considerably')",1
"('sounds', 'considerably', 'human')",1
"('considerably', 'human', 'refusal')",1
"('human', 'refusal', 'introduce')",1
"('refusal', 'introduce', 'arguments')",1
"('introduce', 'arguments', 'hint')",1
"('arguments', 'hint', 'agreement')",1
"('hint', 'agreement', 'opinion')",1
"('agreement', 'opinion', 'clear')",1
"('opinion', 'clear', 'sign')",1
"('clear', 'sign', 'written')",1
"('sign', 'written', 'llm')",1
"('written', 'llm', 'fact')",1
"('llm', 'fact', 'points')",1
"('fact', 'points', 'brought')",1
"('points', 'brought', 'quotes')",1
"('brought', 'quotes', 'suggests')",1
"('quotes', 'suggests', 'author')",1
"('suggests', 'author', 'unwilling')",1
"('author', 'unwilling', 'explore')",1
"('unwilling', 'explore', 'argument')",1
"('explore', 'argument', 'especially')",1
"('argument', 'especially', 'quote')",1
"('especially', 'quote', 'remains')",1
"('quote', 'remains', 'debate')",1
"('remains', 'debate', 'piece')",1
"('debate', 'piece', 'clearly')",1
"('piece', 'clearly', 'opinionated')",1
"('clearly', 'opinionated', 'human')",1
"('opinionated', 'human', 'language')",1
"('human', 'language', 'highlighted')",1
"('language', 'highlighted', 'case')",1
"('highlighted', 'case', 'type')",1
"('case', 'type', 'speech')",1
"('type', 'speech', 'committal')",1
"('speech', 'committal', 'author')",1
"('committal', 'author', 'standing')",1
"('author', 'standing', 'words')",1
"('standing', 'words', 'presenting')",1
"('words', 'presenting', 'sides')",1
"('presenting', 'sides', 'argument')",1
"('sides', 'argument', 'allowing')",1
"('argument', 'allowing', 'reader')",1
